,date,state,county,fips,cases,deaths,code,population_est,poverty_est_all_ages,median_household_income,less_than_high_school_diploma_2015-19,high_school_diploma_only_2015-19,some_college_or_associate_ degree_2015-19,bachelor_degree_or_higher_2015-19
0,2021-03-11,Alabama,Autauga,1001.0,6409.0,95.0,AL,55869.0,6723.0,58233.0,4291.0,12551.0,10596.0,9929.0
1,2021-03-11,Alabama,Baldwin,1003.0,20044.0,294.0,AL,223234.0,22360.0,59871.0,13893.0,41797.0,47274.0,48148.0
2,2021-03-11,Alabama,Barbour,1005.0,2171.0,52.0,AL,24686.0,5909.0,35972.0,4812.0,6396.0,4676.0,2080.0
3,2021-03-11,Alabama,Bibb,1007.0,2474.0,58.0,AL,22394.0,4101.0,47918.0,3386.0,7256.0,3848.0,1678.0
4,2021-03-11,Alabama,Blount,1009.0,6274.0,129.0,AL,57826.0,9324.0,52902.0,7763.0,13299.0,13519.0,5210.0
5,2021-03-11,Alabama,Bullock,1011.0,1181.0,39.0,AL,10101.0,2537.0,31906.0,1798.0,2860.0,1587.0,856.0
6,2021-03-11,Alabama,Butler,1013.0,2035.0,66.0,AL,19448.0,4124.0,39944.0,2066.0,6244.0,3279.0,2230.0
7,2021-03-11,Alabama,Calhoun,1015.0,14007.0,297.0,AL,113605.0,18988.0,47747.0,12315.0,25940.0,26233.0,14620.0
8,2021-03-11,Alabama,Chambers,1017.0,3438.0,113.0,AL,33254.0,6415.0,42015.0,4372.0,8739.0,7515.0,3163.0
9,2021-03-11,Alabama,Cherokee,1019.0,1785.0,42.0,AL,26196.0,4121.0,45982.0,3478.0,7598.0,5391.0,2407.0
10,2021-03-11,Alabama,Chilton,1021.0,3944.0,105.0,AL,44428.0,7044.0,49692.0,5474.0,13348.0,7401.0,3823.0
11,2021-03-11,Alabama,Choctaw,1023.0,566.0,23.0,AL,12589.0,2811.0,39808.0,1737.0,3515.0,2964.0,1113.0
12,2021-03-11,Alabama,Clarke,1025.0,3455.0,55.0,AL,23622.0,4281.0,43822.0,3259.0,7005.0,4456.0,2050.0
13,2021-03-11,Alabama,Clay,1027.0,1466.0,54.0,AL,13235.0,2156.0,40562.0,2205.0,3577.0,2678.0,999.0
14,2021-03-11,Alabama,Cleburne,1029.0,1409.0,41.0,AL,14910.0,1945.0,51276.0,2198.0,3980.0,2687.0,1616.0
15,2021-03-11,Alabama,Coffee,1031.0,5285.0,104.0,AL,52342.0,7734.0,57299.0,4967.0,9615.0,12667.0,8044.0
16,2021-03-11,Alabama,Colbert,1033.0,6018.0,124.0,AL,55241.0,7998.0,46683.0,5783.0,14740.0,11366.0,7070.0
17,2021-03-11,Alabama,Conecuh,1035.0,1074.0,24.0,AL,12067.0,2662.0,41539.0,1384.0,4516.0,1805.0,1128.0
18,2021-03-11,Alabama,Coosa,1037.0,908.0,24.0,AL,10663.0,1789.0,42024.0,1652.0,3327.0,2221.0,1059.0
19,2021-03-11,Alabama,Covington,1039.0,4006.0,108.0,AL,37049.0,6269.0,44836.0,4366.0,9819.0,8119.0,4020.0
20,2021-03-11,Alabama,Crenshaw,1041.0,1483.0,55.0,AL,13772.0,2289.0,43309.0,2016.0,3830.0,2157.0,1687.0
21,2021-03-11,Alabama,Cullman,1043.0,9048.0,183.0,AL,83768.0,10088.0,50897.0,10648.0,19668.0,19406.0,8004.0
22,2021-03-11,Alabama,Dale,1045.0,4697.0,108.0,AL,49172.0,8727.0,45120.0,4651.0,10819.0,11961.0,6078.0
23,2021-03-11,Alabama,Dallas,1047.0,3445.0,143.0,AL,37196.0,9533.0,34034.0,4757.0,9411.0,8178.0,3854.0
24,2021-03-11,Alabama,DeKalb,1049.0,8543.0,178.0,AL,71513.0,12848.0,44277.0,12072.0,16431.0,13241.0,6246.0
25,2021-03-11,Alabama,Elmore,1051.0,9611.0,192.0,AL,81209.0,8753.0,62310.0,7503.0,18232.0,16298.0,14060.0
26,2021-03-11,Alabama,Escambia,1053.0,3807.0,73.0,AL,36633.0,6980.0,42712.0,4878.0,11308.0,6449.0,3224.0
27,2021-03-11,Alabama,Etowah,1055.0,13467.0,332.0,AL,102268.0,18801.0,43047.0,11127.0,23668.0,24422.0,12815.0
28,2021-03-11,Alabama,Fayette,1057.0,2033.0,58.0,AL,16302.0,2721.0,44212.0,2037.0,4831.0,3387.0,1451.0
29,2021-03-11,Alabama,Franklin,1059.0,4042.0,82.0,AL,31362.0,4989.0,44874.0,4739.0,7601.0,5539.0,2907.0
30,2021-03-11,Alabama,Geneva,1061.0,2414.0,71.0,AL,26271.0,4180.0,43089.0,3672.0,6714.0,5943.0,2331.0
31,2021-03-11,Alabama,Greene,1063.0,889.0,32.0,AL,8111.0,2553.0,28699.0,1204.0,2237.0,1766.0,586.0
32,2021-03-11,Alabama,Hale,1065.0,2130.0,72.0,AL,14651.0,2956.0,40745.0,1587.0,4303.0,2620.0,1411.0
33,2021-03-11,Alabama,Henry,1067.0,1839.0,41.0,AL,17205.0,2919.0,48597.0,2509.0,3961.0,3622.0,2076.0
34,2021-03-11,Alabama,Houston,1069.0,10180.0,266.0,AL,105882.0,20207.0,50138.0,10076.0,22558.0,23893.0,15672.0
35,2021-03-11,Alabama,Jackson,1071.0,6568.0,105.0,AL,51626.0,7481.0,44322.0,6218.0,15177.0,10429.0,5175.0
