state,county,less_than_high_school_diploma_2015-19,high_school_diploma_only_2015-19,some_college_or_associate_ degree_2015-19,bachelor_degree_or_higher_2015-19
AL,Alabama,458922,1022839,993344,845772
AL,Autauga County,4291,12551,10596,9929
AL,Baldwin County,13893,41797,47274,48148
AL,Barbour County,4812,6396,4676,2080
AL,Bibb County,3386,7256,3848,1678
AL,Blount County,7763,13299,13519,5210
AL,Bullock County,1798,2860,1587,856
AL,Butler County,2066,6244,3279,2230
AL,Calhoun County,12315,25940,26233,14620
AL,Chambers County,4372,8739,7515,3163
AL,Cherokee County,3478,7598,5391,2407
AL,Chilton County,5474,13348,7401,3823
AL,Choctaw County,1737,3515,2964,1113
AL,Clarke County,3259,7005,4456,2050
AL,Clay County,2205,3577,2678,999
AL,Cleburne County,2198,3980,2687,1616
AL,Coffee County,4967,9615,12667,8044
AL,Colbert County,5783,14740,11366,7070
AL,Conecuh County,1384,4516,1805,1128
AL,Coosa County,1652,3327,2221,1059
AL,Covington County,4366,9819,8119,4020
AL,Crenshaw County,2016,3830,2157,1687
AL,Cullman County,10648,19668,19406,8004
AL,Dale County,4651,10819,11961,6078
AL,Dallas County,4757,9411,8178,3854
AL,DeKalb County,12072,16431,13241,6246
AL,Elmore County,7503,18232,16298,14060
AL,Escambia County,4878,11308,6449,3224
AL,Etowah County,11127,23668,24422,12815
AL,Fayette County,2037,4831,3387,1451
AL,Franklin County,4739,7601,5539,2907
AL,Geneva County,3672,6714,5943,2331
AL,Greene County,1204,2237,1766,586
AL,Hale County,1587,4303,2620,1411
AL,Henry County,2509,3961,3622,2076
AL,Houston County,10076,22558,23893,15672
AL,Jackson County,6218,15177,10429,5175
AL,Jefferson County,44684,118636,136299,150124
AL,Lamar County,1737,3912,3014,1174
AL,Lauderdale County,8026,22873,17759,14948
AL,Lawrence County,4825,9605,5954,2930
AL,Lee County,8849,23026,30907,34273
AL,Limestone County,10098,20044,18829,16971
AL,Lowndes County,1529,2800,1696,1037
AL,Macon County,2190,3633,3760,2450
AL,Madison County,20562,51126,70137,105935
AL,Marengo County,2118,4970,3895,2109
AL,Marion County,4345,7408,6804,2715
AL,Marshall County,11761,19920,19887,12387
AL,Mobile County,37736,94715,81698,64689
AL,Monroe County,2113,6952,3670,1983
AL,Montgomery County,19978,37648,42690,50254
AL,Morgan County,13137,25075,25790,18476
AL,Perry County,1010,2172,1361,1340
AL,Pickens County,2680,5388,4380,2047
AL,Pike County,2901,6899,4918,4580
AL,Randolph County,3213,5502,4454,2607
AL,Russell County,6297,12237,13449,6937
AL,St. Clair County,9488,21849,20207,9880
AL,Shelby County,10658,28835,43503,62431
AL,Sumter County,1076,2860,2408,1744
AL,Talladega County,11014,18881,17721,8377
AL,Tallapoosa County,5546,9376,8458,5287
AL,Tuscaloosa County,15036,38580,35780,39660
AL,Walker County,8141,16796,14765,5080
AL,Washington County,1971,4886,3052,1437
AL,Wilcox County,1675,2808,1742,889
AL,Winston County,3635,6556,4764,2201
AK,Alaska,34376,134582,169609,142019
AK,Aleutian Islands,,,,
AK,Aleutians East Borough,380,1137,798,301
AK,Aleutians West Census Area,435,1611,1378,703
AK,Anchorage Municipality,11701,44936,65951,69282
AK,Bethel Census Area,1871,4550,2216,1164
AK,Bristol Bay Borough,38,235,219,143
AK,Denali Borough,25,423,511,668
AK,Dillingham Census Area,396,1078,782,639
AK,Fairbanks North Star Borough,3406,13993,25045,19402
AK,Haines Borough,46,558,621,625
AK,Hoonah-Angoon Census Area,107,659,580,365
AK,Juneau City and Borough,818,4875,8202,8666
AK,Kenai Peninsula Borough,2977,12702,14977,9995
AK,Ketchikan Gateway Borough,697,2864,3644,2437
AK,Kodiak Island Borough,912,2653,2868,2501
AK,Kusilvak Census Area,847,2246,760,157
AK,Kuskokwim Division,,,,
AK,Lake and Peninsula Borough,110,406,254,148
AK,Matanuska-Susitna Borough,4808,22553,26100,14725
AK,Nome Census Area,852,2270,1507,891
AK,North Slope Borough,668,2795,1967,1075
AK,Northwest Arctic Borough,735,1964,953,557
AK,Petersburg Census Area,227,696,649,623
AK,Prince of Wales-Hyder Census Area,410,1689,1544,814
AK,Prince of Wales-Outer Ketchikan Census Area,,,,
AK,Sitka City and Borough,325,1683,2087,2051
AK,Skagway Municipality,46,253,311,257
AK,Skagway-Yakutat-Angoon Census Area,,,,
AK,Skagway-Hoonah-Angoon Census Area,,,,
AK,Southeast Fairbanks Census Area,458,1546,1624,890
AK,Upper Yukon Division,,,,
AK,Valdez-Cordova Census Area,300,1997,2185,1998
AK,Wrangell City and Borough,259,679,613,374
AK,Wrangell-Petersburg Census Area,,,,
AK,Yakutat City and Borough,39,148,155,100
AK,Yukon-Koyukuk Census Area,483,1383,1108,468
AZ,Arizona,608637,1129129,1600240,1394526
AZ,Apache County,8809,14491,16120,5529
AZ,Cochise County,11057,21124,35205,20253
AZ,Coconino County,7876,18310,26852,30042
AZ,Gila County,5378,10955,15629,7368
AZ,Graham County,3495,6809,9810,3592
AZ,Greenlee County,699,2032,2332,791
AZ,La Paz County,3702,5000,5423,1928
AZ,Maricopa County,353350,644671,939477,941317
