,date,state,county,fips,cases,deaths,code,2019_population_est,poverty_est_all_ages,median_household_income
0,2021-03-03,Alabama,Autauga,1001.0,6313,91.0,AL,55869.0,"6,723","58,233"
1,2021-03-03,Alabama,Baldwin,1003.0,19856,285.0,AL,223234.0,"22,360","59,871"
2,2021-03-03,Alabama,Barbour,1005.0,2129,51.0,AL,24686.0,"5,909","35,972"
3,2021-03-03,Alabama,Bibb,1007.0,2459,60.0,AL,22394.0,"4,101","47,918"
4,2021-03-03,Alabama,Blount,1009.0,6229,127.0,AL,57826.0,"9,324","52,902"
5,2021-03-03,Alabama,Bullock,1011.0,1172,36.0,AL,10101.0,"2,537","31,906"
6,2021-03-03,Alabama,Butler,1013.0,2011,66.0,AL,19448.0,"4,124","39,944"
7,2021-03-03,Alabama,Calhoun,1015.0,13755,288.0,AL,113605.0,"18,988","47,747"
8,2021-03-03,Alabama,Chambers,1017.0,3423,111.0,AL,33254.0,"6,415","42,015"
9,2021-03-03,Alabama,Cherokee,1019.0,1777,39.0,AL,26196.0,"4,121","45,982"
10,2021-03-03,Alabama,Chilton,1021.0,3891,100.0,AL,44428.0,"7,044","49,692"
11,2021-03-03,Alabama,Choctaw,1023.0,551,23.0,AL,12589.0,"2,811","39,808"
12,2021-03-03,Alabama,Clarke,1025.0,3439,53.0,AL,23622.0,"4,281","43,822"
13,2021-03-03,Alabama,Clay,1027.0,1455,54.0,AL,13235.0,"2,156","40,562"
14,2021-03-03,Alabama,Cleburne,1029.0,1397,41.0,AL,14910.0,"1,945","51,276"
15,2021-03-03,Alabama,Coffee,1031.0,5259,103.0,AL,52342.0,"7,734","57,299"
16,2021-03-03,Alabama,Colbert,1033.0,5998,120.0,AL,55241.0,"7,998","46,683"
17,2021-03-03,Alabama,Conecuh,1035.0,1070,24.0,AL,12067.0,"2,662","41,539"
18,2021-03-03,Alabama,Coosa,1037.0,896,24.0,AL,10663.0,"1,789","42,024"
19,2021-03-03,Alabama,Covington,1039.0,3989,106.0,AL,37049.0,"6,269","44,836"
20,2021-03-03,Alabama,Crenshaw,1041.0,1462,54.0,AL,13772.0,"2,289","43,309"
21,2021-03-03,Alabama,Cullman,1043.0,8979,182.0,AL,83768.0,"10,088","50,897"
22,2021-03-03,Alabama,Dale,1045.0,4657,107.0,AL,49172.0,"8,727","45,120"
23,2021-03-03,Alabama,Dallas,1047.0,3419,142.0,AL,37196.0,"9,533","34,034"
24,2021-03-03,Alabama,DeKalb,1049.0,8486,175.0,AL,71513.0,"12,848","44,277"
25,2021-03-03,Alabama,Elmore,1051.0,9451,185.0,AL,81209.0,"8,753","62,310"
26,2021-03-03,Alabama,Escambia,1053.0,3787,72.0,AL,36633.0,"6,980","42,712"
27,2021-03-03,Alabama,Etowah,1055.0,13379,320.0,AL,102268.0,"18,801","43,047"
28,2021-03-03,Alabama,Fayette,1057.0,2013,57.0,AL,16302.0,"2,721","44,212"
29,2021-03-03,Alabama,Franklin,1059.0,3997,78.0,AL,31362.0,"4,989","44,874"
30,2021-03-03,Alabama,Geneva,1061.0,2402,70.0,AL,26271.0,"4,180","43,089"
31,2021-03-03,Alabama,Greene,1063.0,885,32.0,AL,8111.0,"2,553","28,699"
32,2021-03-03,Alabama,Hale,1065.0,2119,69.0,AL,14651.0,"2,956","40,745"
33,2021-03-03,Alabama,Henry,1067.0,1829,41.0,AL,17205.0,"2,919","48,597"
34,2021-03-03,Alabama,Houston,1069.0,10110,262.0,AL,105882.0,"20,207","50,138"
35,2021-03-03,Alabama,Jackson,1071.0,6542,103.0,AL,51626.0,"7,481","44,322"
36,2021-03-03,Alabama,Jefferson,1073.0,71400,1387.0,AL,658573.0,"104,288","54,127"
37,2021-03-03,Alabama,Lamar,1075.0,1337,33.0,AL,13805.0,"2,070","42,686"
38,2021-03-03,Alabama,Lauderdale,1077.0,8610,212.0,AL,92729.0,"14,193","48,188"
39,2021-03-03,Alabama,Lawrence,1079.0,2846,83.0,AL,32924.0,"5,773","47,797"
40,2021-03-03,Alabama,Lee,1081.0,15021,155.0,AL,164542.0,"24,731","54,160"
41,2021-03-03,Alabama,Limestone,1083.0,9413,136.0,AL,98915.0,"11,535","64,729"
42,2021-03-03,Alabama,Lowndes,1085.0,1325,51.0,AL,9726.0,"2,555","33,930"
43,2021-03-03,Alabama,Macon,1087.0,1472,43.0,AL,18068.0,"4,817","34,281"
44,2021-03-03,Alabama,Madison,1089.0,32573,462.0,AL,372909.0,"41,789","68,609"
45,2021-03-03,Alabama,Marengo,1091.0,2383,57.0,AL,18863.0,"4,601","38,838"
46,2021-03-03,Alabama,Marion,1093.0,2888,95.0,AL,29709.0,"4,883","44,675"
