,date,state,abbr,lat,lon,population,fips,cases,deaths,total_doses_administered,doses_administered_per_100k,percent_vaccinated
0,2021-03-08,Alabama,AL,32.601011199999995,-86.6807365,4903185,1,500092,10148,1140984,23270.0,23.27
1,2021-03-08,Alaska,AK,61.3025006,-158.7750198,731545,2,59210,291,302687,41376.0,41.38
2,2021-03-08,Arizona,AZ,34.1682185,-111.930907,7278717,4,827237,16328,2245854,30855.0,30.86
3,2021-03-08,Arkansas,AR,34.7519275,-92.13137840000002,3017804,5,324951,5343,782750,25938.0,25.94
4,2021-03-08,California,CA,37.2718745,-119.2704153,39512223,6,3603413,54377,10925581,27651.0,27.65
5,2021-03-08,Colorado,CO,38.9979339,-105.55056699999999,5758736,8,439609,6079,1650716,28665.0,28.66
6,2021-03-08,Connecticut,CT,41.518783500000005,-72.75750699999999,3565287,9,287396,7725,1245687,34939.0,34.94
7,2021-03-08,Delaware,DE,39.145251,-75.41892059999999,973764,10,88563,1475,285101,29278.0,29.28
8,2021-03-08,District of Columbia,DC,38.899348700000004,-77.0145666,705749,11,41579,1035,232666,32967.0,32.97
9,2021-03-08,Florida,FL,27.9757279,-83.8330166,21477737,12,1948299,31763,5961421,27756.0,27.76
10,2021-03-08,Georgia,GA,32.6781248,-83.22297569999999,10617423,13,999460,17389,2406206,22663.0,22.66
11,2021-03-08,Hawaii,HI,20.46,-157.505,1415872,15,27862,442,464100,32778.0,32.78
12,2021-03-08,Idaho,ID,45.4945756,-114.1424303,1787065,16,173523,1893,489220,27376.0,27.38
13,2021-03-08,Illinois,IL,39.739318,-89.504139,12671821,17,1203008,23020,3601065,28418.0,28.42
14,2021-03-08,Indiana,IN,39.7662195,-86.441277,6732219,18,670975,12744,1892845,28116.0,28.12
15,2021-03-08,Iowa,IA,41.9383166,-93.389798,3155070,19,340128,5560,952377,30186.0,30.19
16,2021-03-08,Kansas,KS,38.4987789,-98.32007790000002,2913314,20,299503,4816,751652,25801.0,25.8
17,2021-03-08,Kentucky,KY,37.8222935,-85.76823990000001,4467673,21,414550,4970,1293847,28960.0,28.96
18,2021-03-08,Louisiana,LA,30.9733766,-91.42990970000001,4648794,22,434289,9758,1286353,27671.0,27.67
19,2021-03-08,Maine,ME,45.2185133,-69.0148656,1344212,23,45926,706,432219,32154.0,32.15
20,2021-03-08,Maryland,MD,38.806352399999994,-77.2684162,6045680,24,388217,7963,1715039,28368.0,28.37
21,2021-03-08,Massachusetts,MA,42.062939799999995,-71.718067,6892503,25,592344,16435,2226167,32298.0,32.3
22,2021-03-08,Michigan,MI,44.9435598,-86.41580490000001,9986857,26,658294,16652,2787289,27910.0,27.91
23,2021-03-08,Minnesota,MN,46.4418595,-93.3655146,5639632,27,490551,6624,1746992,30977.0,30.98
24,2021-03-08,Mississippi,MS,32.5851062,-89.8772196,2976149,28,297651,6808,780649,26230.0,26.23
25,2021-03-08,Missouri,MO,38.3046615,-92.437099,6137428,29,570729,8610,1647096,26837.0,26.84
26,2021-03-08,Montana,MT,46.6797995,-110.04478300000001,1068778,30,101093,1382,343597,32149.0,32.15
27,2021-03-08,Nebraska,NE,41.5008195,-99.680902,1934408,31,203546,2224,594293,30722.0,30.72
28,2021-03-08,Nevada,NV,38.502032,-117.0230604,3080156,32,296470,5040,864967,28082.0,28.08
29,2021-03-08,New Hampshire,NH,44.00123060000001,-71.57992309999999,1359711,33,77060,1184,393931,28972.0,28.97
30,2021-03-08,New Jersey,NJ,40.1430058,-74.7311156,8882190,34,814916,23590,2639438,29716.0,29.72
